Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Archaic Gutnish	NOCODE_Archaic-Gutnish	es:Save:Gotland	0	0	38203	0	0	38203
Archaic Gutnish	NOCODE_Archaic-Gutnish	sv:Gustavson:Gutamalet	0	0	22199	0	0	22199
Archaic Norrlandic	NOCODE_Archaic-Norrlandic	typ:Holm:Vasterbottniska	0	0	9575	0	0	9575
Archaic Norrlandic	NOCODE_Archaic-Norrlandic	s:Rutberg:Nederkalix	0	0	54891	0	0	54891
Arizona Tewa	NOCODE_Arizona-Tewa	g:Kroskrity:Arizona-Tewa	0	0	222466	0	0	222466
Arizona Tewa	NOCODE_Arizona-Tewa	s:Yegerlehner:Hopi-Tewa	0	0	51154	0	0	51154
Bafoto	NOCODE_Bafoto	s:Hulstaert:Bafoto	0	0	10343	0	0	10343
Balade	NOCODE_Balade	sd:Ozanne-Rivierre:Nyelayu	0	0	92006	0	0	92006
Bangru	NOCODE_Bangru	s:Li:Bengru	0	0	13638	0	0	13638
Barranbinya	NOCODE_Barranbinya	s:Oates:Barranbinya	0	0	6652	0	0	6652
Belueli	NOCODE_Belueli	s:Schebesta:Belueli	0	0	6693	0	0	6693
Betoi-Jirara	NOCODE_Betoi	s:Zamponi:Betoi:2002	0	0	10188	0	0	10188
Betoi-Jirara	NOCODE_Betoi	s:Zamponi:Betoi	0	0	23726	0	0	23726
Betoi-Jirara	NOCODE_Betoi	s:Hervas:Betoi	0	0	74360	0	0	74360
Bokar-Ramo	NOCODE_Bokar	s:Megu:Aashing	0	0	16736	0	0	16736
Bokar-Ramo	NOCODE_Bokar	s:Megu:Bokar	0	0	18569	0	0	18569
Bokar-Ramo	NOCODE_Bokar	s:Ouyang:Luoba	0	0	8660	0	0	8660
Bokar-Ramo	NOCODE_Bokar	s:Badu:Ramo	0	0	18102	0	0	18102
Burundi Pidgin French	NOCODE_Burundi-Pidgin-French	s:Niedzielski:Burundi-Pidgin-French	0	0	7029	0	0	7029
Butam	NOCODE_Butam	s:Laufer:Butam	0	0	11998	0	0	11998
Butler English	NOCODE_Butler-English	ssoc:Hosali:Butler-English	0	0	113741	0	0	113741
Caijia	NOCODE_Caijia	s:Bo:Caijia	0	0	4014	0	0	4014
Caijia	NOCODE_Caijia	typ:Zhengzhang:Caijia	0	0	1412	0	0	1412
Caijia	NOCODE_Caijia	typ:Hu:Caijia	0	0	5013	0	0	5013
Apulia-Calabrian Greek	NOCODE_Calabrian-Greek	typ:LekakouQuer:Griko	0	0	14506	0	0	14506
